,address,species,block,street,trap,address_number_and_street,latitude,longitude,address_accuracy,wnv_present,num_mosquitos,year,month,day,station,stat_1_tmax,stat_1_tmin,stat_1_tavg,stat_1_precip_total,day_length_mprec,day_length_nearh,sunrise_hours,sunset_hours,mixed_tmax,mixed_tmin,mixed_precip_total,stat_2_tmax,stat_2_tmin,stat_2_tavg,stat_2_precip_total
41,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,0,3,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
42,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,0,4,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
43,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
44,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
45,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
46,"2500 South Millard Avenue, Chicago, IL 60623, USA",CULEX RESTUANS,25, S MILLARD AVE,T152,"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
47,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
48,"2800 North Francisco Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,28, N FRANCISCO AVE,T147,"2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
49,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,0,3,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
50,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX RESTUANS,35, W 116TH ST,T158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,0,8,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
51,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,36, N PITTSBURGH AVE,T011,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
52,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
53,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX RESTUANS,37, N KEDVALE AVE,T218,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
54,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,38, N CALIFORNIA AVE,T019,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.698457,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
55,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
56,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,40, N AUSTIN AVE,T142,"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,8,0,3,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
57,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
58,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,0,3,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
59,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,0,5,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
60,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
61,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX RESTUANS,42, N RICHMOND ST,T146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
62,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
63,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
64,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX RESTUANS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,8,0,4,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
65,"4500 North Campbell Avenue, Chicago, IL 60625, USA",CULEX RESTUANS,45, N CAMPBELL AVE,T220,"4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
66,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,49, W BALMORAL AVE,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
67,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801498,-87.763416,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
68,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
69,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,53, W AGATITE AVE,T141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
70,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,58, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
71,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
72,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,0,9,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
73,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
74,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,0,10,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
75,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,72, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
76,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
77,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
78,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
79,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,91, W HIGGINS AVE,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964,-87.812827,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
80,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725517,-87.614258,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
81,"Chicago, IL, USA",CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114,-87.629798,3,0,3,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
82,"South Vincennes Avenue, Chicago, IL, USA",CULEX RESTUANS,10, S VINCENNES,T089,"1000  S VINCENNES, Chicago, IL",41.723195,-87.64997,5,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
